galleryId	productId	photo	photoCoordinate	sequence	statu	guid	optionList
103	70	201407077e981hyundaisantafe2010-2011camcitasivekapidirek(2).jpg	80,100,2048,1477.6,1968,1377.6	67	1	70ad914c-66f8-4891-9f3d-ee5e6f1bf3b9	NULL
104	71	20140707af281hyundaisantafe2010-2012onpanjur.jpg	155,27,1994,1314.3,1839,1287.3	68	1	33b64e5b-7e2a-4f30-a8fe-d954d2acf5a7	NULL
105	72	2014070756599hyundaisantafe2009onpanjur(2).jpg	23,0,587.2857142857143,395,564.2857142857143,395	69	1	c565fb98-5901-4fe7-820e-47869b83efab	NULL
106	73	20140713e45dchyundaii30(2013)yankapicitasi(5).png	51,0,921,609,870,609	70	1	8a61427a-4c8d-45d3-9a27-49a50a8a6d69	NULL
107	74	201407131b7f6hyundaii30(2013)ontamponizgarasi(9).png	186,5,969,553.1,783,548.1	71	1	82732882-0b04-4642-8ad3-fb6a1f4e5d5d	NULL
108	75	2014071326d8dhyundaii-30(2010)camcitasi(2).jpg	11,38,603.8571428571429,453,592.8571428571429,415	72	1	d5ca5375-5212-47a4-9d41-7f8f15c8bf32	NULL
112	76	20140713df75bhyundaii20bagajcitasi(1).png	98,0,962.2857142857143,605,864.2857142857143,605	73	1	68fc6441-76dc-4436-8f13-1ac7231e992d	NULL
114	77	2014071302d3ahyundaii20camcitasi(1).png	56,0,923.1428571428571,607,867.1428571428571,607	74	1	3f8a300d-160c-4a67-93bd-514b22b59d3a	NULL
115	78	2014071304de4hyundaigetzcamcitasivekapidirek.jpg	94,133,1859.7142857142858,1369,1765.7142857142858,1236	75	1	5d8cd1c7-f0bb-4bfd-9255-81fb03375b23	NULL
116	79	20140713e414fhyundaielantracamcercevesivekapidirek(1).jpg	0,37,1916,1378.2,1916,1341.2	76	1	413d52d0-db12-4237-8ed7-72228a2e15b0	NULL
117	80	2014071367955hyundaielantracamcercevesivekapidirek(4).jpg	125,95,1895,1334,1770,1239	77	1	70ce3fad-3aff-45fa-9b43-a67df1ac4b99	NULL
118	81	20140713d4007hyundaiaccenterakelebekucgeni(2).jpg	0,49,576,452.2,576,403.2	78	1	f83312c6-22b0-42e6-9a9f-de25c5239f67	NULL
120	82	20140713ff2b6hyundaiaccenteracamcercevesivekapidirek(1).jpg	12,16,602,429,590,413	79	1	93ccba66-0ac3-4a1a-9982-d978b6c23058	NULL
121	83	2014071358263hyundaiaccenteraonpanjur(2).jpg	17,62,575.5714285714286,453,558.5714285714286,391	80	1	af2e067a-823d-4697-a9f7-af9ee0777084	NULL
122	84	20140713af990hyundaiaccenterabagajcitasi.jpg	5,3,598,418.09999999999997,593,415.09999999999997	81	1	cbdb964f-656d-47aa-b332-957f14c7c30f	NULL
123	85	2014071359b6ehyundaiaccenteracamcercevesivekapidirek(3).jpg	4,0,595.4285714285714,414,591.4285714285714,414	82	1	319bb15b-c4ec-4594-95c8-6c92fec34791	NULL
124	86	20140713c1de5hyundaiix35camcercevesi(4).jpg	889,92,3624.714285714286,2007,2735.714285714286,1915	83	1	35520812-1315-4c6d-bf98-aa1586a1241e	NULL
125	87	201407139ea54hyundaiix35camcitasi(4).jpg	607,80,3704.1428571428573,2248,3097.1428571428573,2168	84	1	88325fc4-3839-4d71-82f3-80b8fa0f6f5d	NULL
127	88	20140713c6128hyundaiaccentbluecamcitasi(3).png	73,0,937.2857142857143,605,864.2857142857143,605	85	1	cbc2820b-50b3-4906-9536-5e6425663b81	NULL
